id	name	type	address	phone	email	manager	operators	techBox	observations
1	SUN CITY	Salón						5700	
2	CRYSTAL PARK	Salón						7250	
3	CESARS PALACE	Salón						6150	
4	OCEAN	Salón						1550	
5	PARAISO	Salón						6650	
6	PREMIUM	Salón						6800	
7	PLAZA	Salón						7160	
8	ROYAL CASINO	Salón						6880	
9	NEW YORK	Salón						6100	
10	CARIBE	Salón						7120	
11	CALIFORNIA	Salón						1710	
12	FLORIDA PARK	Salón						7210	
13	MANHATTAN	Salón						6200	
14	AMERICA	Salón						1690	
15	ATLANTIC	Salón						6940	
16	FORTUNA	Salón						6690	
17	BELLAGIO	Salón						6860	
18	CANADA	Salón						7060	
19	BAHAMAS	Salón						6950	
20	TEIDE	Salón						6870	
21	BLACK JACK	Salón						7080	
22	NEVADA	Salón						1370	
23	NEW RALLY	Salón						7340	
24	HABANA	Salón						7270	
25	CARACAS	Salón						7380	
26	CENTRAL PARK	Salón						6090	
27	LAS VEGAS	Salón						1606	
28	ALASKA	Salón						1460	
29	TROPICAL	Salón						6960	
30	CENTRAL AC	Salón							
31	LA VILLA	Salón							
32	NEW CENTER	Salón						7090	
33	BRAZIL	Salón						6840	
34	POKER	Salón						6290	
35	AVENIDA	Salón						6710	
36	ZAFIRO	Salón						7320	
37	SAHARA	Salón						7020	
38	NIAGARA	Salón						6990	
39	VENECIA	Salón						7140	
40	LAGUNA PARK	Salón						6590	
41	LOS ANGELES	Salón						0620	
42	LUCKY	Salón						7330	
43	OASIS	Salón						6750	
44	PARIS	Salón						0380	
45	GALAXY	Salón						6780	
46	MONTECARLO	Salón						6830	
47	DETROIT	Salón						6970	
48	MONACO	Salón						1530	
49	EUROPA	Salón						1170	
50	GOLDEN	Salón						6760	
51	MILENIUN	Salón						7000	
52	AFRICA	Salón						0810	
53	LETI	Salón						0200	
54	PALACE	Salón						0550	
55	MIAMI	Salón						7390	
56	CHAFIRAS	Salón						0161	
57	COLOMBOFILO	Salón						0031	
58	ESTRELLA	Salón						0091	
59	LA CUESTA	Salón						0011	
60	RIVER	Salón						7420	
61	STA CRUZ	Salón						0121	
62	TROMPO	Salón						0141	
63	24 HORAS	Salón						7430	
